rank,refArea,region,score,surveysXXXused,standardXXXdeviation,percentileXXX90XXXlower,percentileXXX90XXXupper,min,max,africanXXXdevelopmentXXXbankXXXcountryXXXpolicyXXXandXXXinstitutionalXXXassessmentXXXgovernanceXXXratings,bertelsmannXXXfoundationXXXsustainableXXXgovernanceXXXindicators,bertelsmannXXXfoundationXXXtransformationXXXindex,internationalXXXinstituteXXXforXXXmanagementXXXdevelopmentXXXworldXXXcompetitivenessXXXyearbook,politicalXXXriskXXXservicesXXXinternationalXXXcountryXXXriskXXXguide,worldXXXbankXXXcountryXXXperformanceXXXandXXXinstitutionalXXXassessment,worldXXXeconomicXXXforumXXXexecutiveXXXopinionXXXsurvey,worldXXXjusticeXXXprojectXXXruleXXXofXXXlawXXXindex,economistXXXintelligenceXXXunitXXXcountryXXXriskXXXassessment,globalXXXinsightXXXcountryXXXriskXXXratings,politicalXXXandXXXeconomicXXXriskXXXconsultancyXXXasianXXXintelligence,transparencyXXXinternationalXXXbribeXXXpayersXXXsurvey,freedomXXXhouseXXXnationsXXXinXXXtransit
22,Bahamas,AM,71,3,1,70,73,69,73,0,0,0,0,69,0,0,0,71,73,0,0,0
22,France,EU,71,8,2.4,67,75,57,79,0,57,0,73,79,0,67,74,71,73,0,77,0
22,Saint Lucia,AM,71,3,0.8,70,73,70,73,0,0,0,0,0,70,0,0,71,73,0,0,0
25,Austria,EU,69,8,2.4,65,73,59,79,0,73,0,59,79,0,63,71,71,63,0,74,0
25,Ireland,EU,69,6,3.5,64,75,54,78,0,65,0,76,69,0,78,0,54,73,0,0,0
27,Qatar,ME,68,6,6.4,58,79,49,89,0,0,49,77,50,0,89,0,71,73,0,0,0
27,United Arab Emirates,ME,68,7,4.3,61,75,54,86,0,0,58,75,60,0,86,68,54,73,0,0,0
29,Cyprus,EU,66,4,2.4,63,70,62,71,0,0,0,0,69,0,62,0,71,63,0,0,0
30,Botswana,AF,65,7,1.9,62,68,60,72,62,0,66,0,60,0,60,72,71,63,0,0,0
30,Spain,EU,65,7,2.9,60,69,52,73,0,65,0,58,69,0,52,73,71,63,0,0,0
32,Estonia,EU,64,8,3,59,69,50,75,0,0,75,70,50,0,64,71,54,63,0,0,68
33,Bhutan,AP,63,3,3.6,57,69,58,70,0,0,58,0,0,70,0,0,0,63,0,0,0
33,Portugal,EU,63,7,2.5,59,67,54,73,0,65,0,58,69,0,59,61,54,73,0,0,0
33,Puerto Rico,AM,63,3,4.9,55,71,54,71,0,0,0,0,0,0,54,0,71,63,0,0,0
36,Saint Vincent and the Grenadines,AM,62,3,5.6,53,71,54,73,0,0,0,0,0,58,0,0,54,73,0,0,0
